"","dataset1a[, 1]","Round","MF","Class","Convo"
"132","ID_67",1,2,1,5
"133","ID_68",1,1,5,3
"134","ID_69",1,1,5,2
"135","ID_70",1,2,1,2
"136","ID_71",1,1,2,1
"137","ID_72",1,2,2,4
"138","ID_73",1,2,5,2
"139","0_ID_NA",1,2,NA,NA
"140","ID_74",1,2,5,3
"141","ID_75",1,2,5,1
"142","ID_76",1,1,1,4
"143","ID_77",1,1,1,5
"144","ID_78",1,2,1,1
"145","ID_79",1,1,1,4
"146","ID_80",1,2,1,5
"147","ID_81",1,1,4,1
"148","ID_82",1,1,1,1
"149","ID_83",1,2,4,5
"150","ID_84",1,2,4,5
"151","ID_85",1,1,NA,3
"152","ID_86",1,1,4,3
"153","ID_37",1,1,4,2
"154","ID_32",1,2,4,5
"155","ID_87",1,2,4,5
"156","ID_88",1,2,4,3
"157","ID_89",1,1,4,4
"158","ID_90",1,2,4,1
"159","ID_91",1,2,4,4
"160","ID_92",1,1,4,3
"161","ID_93",1,2,5,1
"162","ID_94",1,1,5,4
"163","ID_95",1,2,5,4
"164","ID_96",1,2,5,3
"165","ID_97",1,1,NA,4
"166","ID_98",1,2,3,1
"167","ID_99",1,2,1,5
"168","ID_100",1,2,1,2
"169","ID_101",1,2,5,4
"170","ID_102",1,2,5,2
"171","ID_103",1,1,5,3
"172","ID_104",1,2,5,1
"173","ID_105",1,1,5,4
"174","ID_106",1,2,5,3
"175","ID_107",1,2,5,2
"176","ID_108",1,2,5,4
"177","0_ID_NA",1,NA,NA,NA
"178","ID_109",1,2,3,5
"179","ID_110",1,2,3,5
"180","ID_111",1,2,3,5
"181","0_ID_NA",1,2,NA,4
"182","ID_112",1,2,3,2
"183","ID_113",1,2,3,4
"184","ID_114",1,2,3,5
"185","ID_115",1,2,3,3
"186","ID_116",1,2,3,4
"187","ID_117",1,1,3,4
"188","ID_118",1,2,3,3
"189","ID_119",1,1,3,3
"190","ID_120",1,2,3,5
"191","ID_121",1,1,3,2
"192","ID_122",1,1,3,4
"193","0_ID_NA",1,2,NA,3
"194","ID_123",1,2,5,3
"195","ID_124",1,2,5,5
"196","ID_125",1,2,5,1
"197","ID_17",2,1,2,5
"198","ID_12",2,2,2,1
"199","ID_38",2,2,2,5
"200","ID_46",2,2,2,4
"201","ID_7",2,2,2,3
"202","0_ID_NA",2,2,2,5
"203","ID_126",2,2,2,3
"204","ID_40",2,2,2,3
"205","ID_22",2,2,2,2
"206","ID_6",2,2,2,3
"207","ID_35",2,1,2,3
"208","ID_34",2,1,2,4
"209","ID_27",2,1,2,5
"210","ID_15",2,1,2,5
"211","ID_31",2,1,2,5
"212","ID_127",2,1,2,5
"213","ID_10",2,1,2,4
"214","0_ID_NA",2,1,NA,5
"215","ID_36",2,1,2,5
"216","ID_39",2,2,2,3
"217","ID_11",2,2,2,2
"218","ID_5",2,2,2,2
"219","ID_72",2,2,2,3
"220","ID_71",2,1,2,2
"221","ID_2",2,2,2,2
"222","ID_20",2,1,2,5
"223","ID_128",2,2,2,3
"224","ID_129",2,2,1,1
"225","0_ID_NA",2,1,NA,1
"226","ID_67",2,2,1,3
"227","ID_50",2,1,1,2
"228","ID_66",2,2,1,2
"229","ID_76",2,1,1,5
"230","ID_59",2,1,1,5
"231","ID_8",2,1,1,5
"232","ID_1",2,1,1,4
"233","ID_49",2,1,1,4
"234","ID_65",2,2,1,2
"235","ID_63",2,1,1,4
"236","ID_41",2,1,1,3
"237","ID_64",2,2,1,5
"238","0_ID_NA",2,1,NA,NA
"239","ID_82",2,1,NA,4
"240","ID_28",2,1,1,4
"241","ID_51",2,2,1,5
"242","ID_99",2,2,1,5
"243","0_ID_NA",2,2,NA,1
"244","ID_45",2,2,1,4
"245","ID_42",2,2,1,4
"246","ID_19",2,2,1,3
"247","ID_55",2,2,1,3
"248","ID_80",2,2,1,4
"249","ID_54",2,2,1,3
"250","ID_44",2,1,1,4
"251","ID_91",2,2,4,4
"252","ID_130",2,2,4,4
"253","ID_131",2,2,4,2
"254","ID_88",2,2,4,2
"255","ID_26",2,1,4,3
"256","ID_90",2,2,4,1
"257","ID_85",2,1,4,3
"258","ID_8",2,1,4,5
"259","ID_63",2,1,4,3
"260","ID_81",2,1,4,2
"261","ID_4",2,1,4,2
"262","ID_53",2,1,4,2
"263","ID_52",2,1,3,2
"264","ID_122",2,1,3,3
"265","ID_132",2,2,3,5
"266","ID_13",2,1,NA,2
"267","ID_133",2,1,3,5
"268","ID_115",2,2,3,4
"269","ID_118",2,2,3,1
"270","ID_47",2,1,3,5
"271","ID_119",2,1,3,3
"272","ID_4",2,1,3,2
"273","ID_134",2,2,3,4
"274","ID_69",2,2,3,3
"275","ID_117",2,1,3,2
"276","ID_3",2,2,3,3
"277","ID_116",2,2,3,2
"278","ID_56",2,1,3,3
"279","ID_98",2,2,3,2
"280","ID_9",2,2,3,3
"281","ID_16",2,2,3,2
"282","ID_114",2,2,3,4
"283","ID_110",2,2,3,3
"284","ID_109",2,2,3,5
"285","ID_121",2,1,3,2
"286","ID_48",2,2,3,5
"287","ID_18",2,1,3,4
"288","ID_113",2,2,3,5
"289","0_ID_NA",2,2,5,4
"290","ID_123",2,2,5,3
"291","ID_135",2,2,5,1
"292","ID_60",2,2,5,5
"293","ID_124",2,2,5,5
"294","ID_102",2,2,5,2
"295","ID_106",2,2,5,3
"296","ID_101",2,2,5,4
"297","ID_68",2,1,5,4
"298","ID_93",2,2,5,4
"299","ID_104",2,2,5,1
"300","ID_58",2,1,5,5
"301","ID_107",2,2,5,2
"302","ID_96",2,2,5,3
"303","ID_95",2,2,5,4
"304","ID_69",2,1,5,5
"305","ID_114",2,2,NA,3
"306","ID_74",2,2,5,3
"307","0_ID_NA",2,1,NA,4
"308","ID_136",2,2,5,1
"309","ID_94",2,1,5,5
"310","ID_125",2,2,5,1
"311","ID_97",2,1,5,3
"312","ID_105",2,1,5,2
"313","ID_73",2,2,5,4
"314","ID_137",2,1,5,4
"315","ID_61",2,1,5,5
"316","ID_57",2,2,5,4
"317","ID_108",2,2,5,3
"775","ID_111",3,2,3,5
"776","ID_118",3,2,3,1
"777","ID_134",3,2,3,4
"778","ID_53",3,1,3,1
"779","ID_109",3,2,3,5
"780","ID_9",3,2,3,3
"781","ID_133",3,1,3,4
"782","ID_110",3,2,3,2
"783","ID_3",3,2,3,3
"784","ID_16",3,2,3,2
"785","ID_114",3,2,3,5
"786","ID_115",3,2,3,5
"787","ID_119",3,1,3,2
"788","ID_13",3,1,3,2
"789","ID_121",3,1,3,2
"790","ID_120",3,2,3,5
"791","ID_18",3,1,3,3
"792","ID_122",3,1,3,4
"793","ID_138",3,1,3,5
"794","ID_116",3,2,3,2
"795","ID_4",3,1,3,4
"796","ID_98",3,2,3,2
"797","ID_69",3,2,3,2
"798","ID_113",3,2,3,3
"799","ID_39",3,2,2,4
"800","ID_27",3,1,2,5
"801","ID_20",3,1,2,5
"802","ID_10",3,1,2,5
"803","ID_15",3,1,2,5
"804","ID_31",3,1,2,5
"805","ID_128",3,1,2,3
"806","ID_28",3,1,2,3
"807","ID_14",3,2,2,3
"808","ID_113",3,2,3,3
"809","ID_139",3,1,3,3
"810","ID_117",3,1,3,2
"811","ID_47",3,1,3,5
"812","ID_112",3,2,3,2
"813","ID_51",3,2,1,5
"814","ID_129",3,2,1,5
"815","ID_19",3,2,1,4
"816","ID_70",3,2,1,4
"817","ID_59",3,1,1,3
"818","ID_41",3,1,1,3
"819","ID_140",3,1,1,3
"820","ID_64",3,2,1,5
"821","ID_63",3,1,1,3
"822","ID_99",3,2,1,5
"823","ID_82",3,1,1,3
"824","ID_67",3,2,1,5
"825","ID_44",3,1,1,5
"826","ID_65",3,2,1,2
"827","ID_8",3,1,1,5
"828","ID_50",3,1,1,4
"829","ID_66",3,2,1,2
"830","ID_42",3,2,1,5
"831","ID_1",3,1,1,3
"832","ID_55",3,2,1,4
"833","ID_54",3,2,1,3
"834","ID_80",3,2,1,3
"835","ID_100",3,2,1,4
"836","ID_45",3,2,1,3
"837","ID_78",3,2,1,2
"838","ID_77",3,1,1,2
"839","ID_49",3,1,1,3
"840","ID_79",3,1,1,5
"841","ID_37",3,1,1,2
"842","ID_132",3,2,5,5
"843","ID_103",3,1,5,3
"844","ID_97",3,1,5,3
"845","ID_94",3,1,5,3
"846","ID_68",3,1,5,4
"847","ID_106",3,2,5,3
"848","ID_104",3,2,5,1
"849","ID_123",3,2,5,5
"850","ID_93",3,2,5,3
"851","ID_125",3,2,5,1
"852","ID_95",3,2,5,5
"853","ID_96",3,2,5,5
"854","0_ID_NA",3,2,NA,5
"855","ID_102",3,2,5,3
"856","ID_135",3,2,5,4
"857","ID_7",3,2,5,5
"858","ID_62",3,1,5,4
"859","ID_107",3,2,5,4
"860","ID_69",3,1,5,5
"861","ID_75",3,2,5,2
"862","ID_101",3,2,NA,5
"863","ID_57",3,2,5,5
"864","ID_124",3,2,5,5
"865","ID_105",3,1,5,3
"866","ID_73",3,2,5,3
"867","ID_32",3,2,4,5
"868","ID_4",3,1,4,2
"869","ID_85",3,1,4,4
"870","ID_131",3,2,4,2
"871","ID_92",3,1,4,3
"872","ID_81",3,2,4,1
"873","ID_130",3,2,4,5
"874","ID_37",3,1,4,3
"875","ID_141",3,2,4,4
"876","ID_142",3,2,4,2
"877","ID_83",3,2,4,5
"878","ID_84",3,2,4,5
"879","ID_141",3,1,NA,5
"880","ID_143",3,2,4,1
"881","ID_90",3,2,4,1
"882","ID_87",3,2,4,5
"883","ID_88",3,2,4,2
"884","ID_63",3,1,4,2
"885","ID_23",3,2,4,4
"886","ID_144",3,2,NA,5
"887","0_ID_NA",3,2,NA,5
"888","ID_26",3,1,4,4
"889","ID_145",3,2,NA,4
"890","ID_24",3,2,4,5
"891","ID_146",3,1,4,5
"892","ID_76",3,1,NA,5
"893","ID_25",3,2,4,5
"894","ID_72",3,2,2,3
"895","ID_11",3,2,2,2
"896","ID_2",3,2,2,2
"897","ID_126",3,2,2,3
"898","ID_21",3,2,2,2
"899","ID_38",3,2,2,5
"900","ID_36",3,1,2,5
"901","0_ID_NA",3,2,2,5
"902","ID_34",3,1,2,4
"903","ID_33",3,1,2,5
"904","ID_30",3,1,2,5
"905","ID_7",3,2,2,3
"906","ID_5",3,2,2,3
"907","ID_58",3,2,2,2
"908","ID_43",3,2,2,5
"909","ID_46",3,2,2,5
"910","ID_35",3,1,2,2
"911","ID_71",3,1,2,1
"912","ID_17",3,1,2,5
"913","ID_40",3,2,2,4
"914","ID_22",3,2,2,3
"915","0_ID_NA",3,2,6,3
"983","ID_13",4,1,3,3
"984","ID_111",4,2,3,5
"985","ID_138",4,1,3,2
"986","ID_122",4,1,3,4
"987","ID_117",4,1,3,2
"988","0_ID_NA",4,1,NA,4
"989","ID_109",4,2,3,5
"990","ID_31",4,1,3,2
"991","ID_4",4,1,3,2
"992","ID_47",4,1,3,5
"993","ID_120",4,2,3,3
"994","ID_112",4,2,3,3
"995","ID_113",4,2,3,3
"996","ID_116",4,2,3,2
"997","ID_18",4,1,3,5
"998","ID_48",4,2,3,5
"999","ID_119",4,1,3,2
"1000","ID_121",4,1,3,3
"1001","ID_56",4,1,3,1
"1002","ID_114",4,2,3,5
"1003","ID_134",4,2,3,4
"1004","ID_9",4,2,3,3
"1005","ID_118",4,2,3,1
"1006","ID_69",4,2,3,4
"1007","ID_16",4,2,3,1
"1008","ID_115",4,2,NA,5
"1009","ID_3",4,2,3,3
"1010","ID_98",4,2,3,3
"1011","ID_110",4,2,3,3
"1012","ID_52",4,1,3,1
"1013","ID_53",4,1,3,1
"1014","ID_92",4,1,4,3
"1015","0_ID_NA",4,NA,4,NA
"1016","ID_143",4,2,4,2
"1017","ID_84",4,2,4,4
"1018","ID_32",4,2,4,5
"1019","ID_131",4,2,4,2
"1020","ID_90",4,2,4,1
"1021","ID_142",4,2,4,3
"1022","ID_81",4,1,4,3
"1023","ID_144",4,2,4,4
"1024","0_ID_NA",4,1,4,5
"1025","ID_147",4,1,4,2
"1026","ID_25",4,2,4,5
"1027","ID_85",4,1,4,3
"1028","ID_148",4,1,4,3
"1029","ID_89",4,1,4,5
"1030","ID_37",4,2,4,3
"1031","ID_145",4,2,4,4
"1032","ID_23",4,2,4,3
"1033","ID_84",4,1,4,5
"1034","ID_87",4,2,4,5
"1035","ID_88",4,2,4,2
"1036","ID_24",4,2,4,5
"1037","ID_130",4,2,4,4
"1038","ID_26",4,1,4,4
"1039","ID_141",4,1,4,5
"1040","ID_91",4,2,4,4
"1041","ID_95",4,2,5,5
"1042","ID_60",4,2,5,5
"1043","ID_108",4,2,5,2
"1044","ID_132",4,2,5,5
"1045","ID_137",4,1,5,4
"1046","ID_104",4,2,5,2
"1047","ID_124",4,2,5,5
"1048","0_ID_NA",4,1,NA,5
"1049","ID_96",4,2,5,4
"1050","0_ID_NA",4,1,NA,5
"1051","ID_97",4,1,5,3
"1052","ID_68",4,1,5,4
"1053","ID_101",4,2,5,4
"1054","ID_102",4,2,5,4
"1055","ID_107",4,2,5,2
"1056","ID_103",4,1,5,2
"1057","ID_94",4,1,5,5
"1058","ID_105",4,1,5,3
"1059","ID_74",4,2,5,3
"1060","ID_73",4,2,5,3
"1061","ID_106",4,2,5,3
"1062","ID_62",4,1,5,5
"1063","ID_123",4,2,5,5
"1064","ID_57",4,2,5,5
"1065","ID_75",4,2,5,2
"1066","ID_135",4,2,5,5
"1067","ID_69",4,2,5,5
"1068","ID_93",4,2,5,2
